上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"79","7717","萊德光電-KY","最近六個營業日(含當日)累積之最後成交價漲幅達24.98%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣88元(第一款)","115/04/01","726.00","118.43"
"80","7734","印能科技","最近六個營業日(含當日)累積之最後成交價漲幅達35.32%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達166.59%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達166.28%(第二款)","115/04/01","2330.00","69.55"
"81","8027","鈦昇","最近六個營業日(含當日)累積之最後成交價漲幅達30.42%(第一款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為31.9%，凱基證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為51.13%(第五款)","115/04/01","152.00","N/A"
"82","80273","鈦昇三","最近六個營業日(含當日)累積之最後成交價漲幅達32.96%(第一款)","115/04/01","232.00","N/A"
"83","8096","擎亞","最近六個營業日(含當日)之累積週轉率為99.06%，當日週轉率達13.08%(第十款)","115/04/01","91.80","103.15"
"84","3081","聯亞","當日本益比為337.98、股價淨值比為34.78且為其所屬產業類別股價淨值比之6.09倍、當日週轉率達5.03%(第六款)","115/03/31","1575.00","337.98"
"85","31351","凌航一","最近六個營業日(含當日)累積之最後成交價跌幅達27.81%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣66元(第一款)","115/03/31","215.00","N/A"
"86","3188","鑫龍騰","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.06%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為8倍(第十二款)","115/03/31","27.15","6.70"
"87","3205","佰研","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.41倍，當日成交量較最近六十個營業日之日平均成交量放大為11.43倍(第九款)","115/03/31","62.50","N/A"
"88","3324","雙鴻","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣126元(第十一款)","115/03/31","879.00","31.10"
"89","3363","上詮","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣115元(第十一款)","115/03/31","550.00","3437.50"
"90","4154","樂威科-KY","最近六個營業日(含當日)累積之最後成交價漲幅達35%(第一款)","115/03/31","14.35","N/A"
"91","4303","信立","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達10.04%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為6倍(第十二款)","115/03/31","54.80","4.91"
